resid,leaflet,X coords,Y coords,Z coords,Thickness
8461,lower leaflet,54.543,14.980,2.053,4.169
8462,lower leaflet,41.210,35.671,2.420,3.662
8463,lower leaflet,3.206,24.859,2.136,3.692
8464,lower leaflet,33.389,16.837,2.042,4.332
8465,lower leaflet,12.920,38.247,2.262,3.719
8466,lower leaflet,20.525,34.722,2.098,3.958
8467,lower leaflet,12.639,10.887,1.685,4.306
8468,lower leaflet,35.052,15.255,1.960,4.144
8469,lower leaflet,35.241,29.373,1.981,3.916
8470,lower leaflet,49.691,46.239,2.053,3.828
8471,lower leaflet,35.617,10.632,1.883,4.264
8472,lower leaflet,15.977,23.500,2.372,4.683
8473,lower leaflet,24.833,47.302,2.291,4.296
8474,lower leaflet,12.500,5.341,1.588,4.565
8475,lower leaflet,22.273,2.067,1.838,4.429
8476,lower leaflet,53.192,45.400,2.347,3.822
8477,lower leaflet,24.268,25.642,2.085,4.373
8478,lower leaflet,9.551,24.345,1.733,3.959
8479,lower leaflet,43.555,7.379,1.831,4.429
8480,lower leaflet,42.470,24.262,2.599,3.958
8481,lower leaflet,12.494,22.885,1.958,4.150
8482,lower leaflet,33.520,32.771,2.340,3.832
8483,lower leaflet,33.976,34.995,2.417,4.242
8484,lower leaflet,12.969,40.984,2.034,3.916
8485,lower leaflet,35.168,52.859,2.234,4.342
8486,lower leaflet,42.474,10.296,1.959,4.519
8487,lower leaflet,6.211,2.059,2.065,4.243
8488,lower leaflet,13.849,49.170,1.844,4.188
8489,lower leaflet,13.016,8.459,1.977,4.454
8490,lower leaflet,39.235,31.457,2.491,3.640
8491,lower leaflet,12.591,43.019,1.861,3.664
8492,lower leaflet,20.840,15.093,1.936,4.276
8493,lower leaflet,51.137,37.896,2.344,3.233
8494,lower leaflet,9.908,46.111,2.073,4.204
8495,lower leaflet,47.529,21.084,1.971,3.797
8496,lower leaflet,28.676,13.964,1.747,4.294
8497,lower leaflet,21.732,6.328,1.789,4.429
